SKU,Price,Title,Assets,Description,Brand,Category,Stock
SMP-60-24,45.37,Europa Switch Mode Power Supplies SMP-60-24,https://www.europa-plc.com/_uploads/europa/xSMP-60-24_H_555_W_555.jpg.pagespeed.ic.raWhVXc3wu.webp,"
				85 - 264V AC / 120 - 370V DC , Multiple input voltage range, Fully protected against overload and over voltage, Din rail mount, High load stability, Adjustable DC output + / - 10%, LED indication for power on",Europa,Power Supplies,100
SLA232,2.48,Europa Solid Link SLA232,https://www.europa-plc.com/_uploads/europa/SLA232_H_555_W_555.jpg,,Europa,Accessories,100
SISW325N,79.44,Europa IP67 Weatherproof Switched Interlocked Sockets SISW325N,https://www.europa-plc.com/_uploads/europa/xSISW325N_H_555_W_555.jpg.pagespeed.ic.dnrw-k3FFC.webp,"
				IP67 rated polycarbonate enclosure, 3 x M25 + 1 x M32 cable entries, 3 x M25 blanking plugs + 1 x M32 cable gland included, Quick turn screws reduces installation time, Padlockable in the OFF position",Europa,Interlocked Sockets,100
SISW324N,73.77,Europa IP67 Weatherproof Switched Interlocked Sockets SISW324N,https://www.europa-plc.com/_uploads/europa/xSISW324N_H_555_W_555.jpg.pagespeed.ic.dnrw-k3FFC.webp,"
				IP67 rated polycarbonate enclosure, 3 x M25 + 1 x M32 cable entries, 3 x M25 blanking plugs + 1 x M32 cable gland included, Quick turn screws reduces installation time, Padlockable in the OFF position",Europa,Interlocked Sockets,100
SISRAW325V,270.01,"Europa IP65/IP67 Interlocked Switch Sockets (RCCB Protected, Type A) SISRAW325V",https://www.europa-plc.com/_uploads/europa/xSISRAW325V_H_555_W_555.jpg.pagespeed.ic.LkFZy6E2z_.webp,"
				IP65/IP67, 4 pole 40A Type A 30mA RCCB pre-fitted, self-extinguishing & shock resistant thermoplastic, 4 cable inlets: M25 / M32 top, bottom & side entry, Inox screws resist chemical agents, Accepts IP67 plugs, Compact size, Includes spirit level",Europa,Interlocked Sockets,100
SISRAW165V,243.00,"Europa IP65/IP67 Interlocked Switch Sockets (RCCB Protected, Type A) SISRAW165V",https://www.europa-plc.com/_uploads/europa/xSISRAW165V_H_555_W_555.jpg.pagespeed.ic.LkFZy6E2z_.webp,"
				IP65/IP67, 4 pole 25A Type A 30mA RCCB pre-fitted, self-extinguishing & shock resistant thermoplastic, 4 cable inlets: M25 / M32 top, bottom & side entry, Inox screws resist chemical agents, Accepts IP67 plugs, Compact size, Includes spirit level",Europa,Interlocked Sockets,100
SISRAW164V,239.54,"Europa IP65/IP67 Interlocked Switch Sockets (RCCB Protected, Type A) SISRAW164V",https://www.europa-plc.com/_uploads/europa/xSISRAW164V_H_555_W_555.jpg.pagespeed.ic.LkFZy6E2z_.webp,"
				IP65/IP67, 2 pole 25A Type A 30mA RCCB pre-fitted, self-extinguishing & shock resistant thermoplastic, 4 cable inlets: M25 / M32 top, bottom & side entry, Inox screws resist chemical agents, Accepts IP67 plugs, Compact size, Includes spirit level",Europa,Interlocked Sockets,100
RCD13AMCA,47.20,Europa 13A RCD Sockets RCD13AMCA,https://www.europa-plc.com/_uploads/www.europa-plc.com/x7269071_H_555_W_555.jpg.pagespeed.ic.YaP4xBtLkg.webp,"
				Trip current 30mA / Trip speeD:40mS, ON/OFF indicator, Test facility, Mechanically latching (Passive), Sockets will not trip in the event of a power failure",Europa,Accessories,100
RCAS-SWK2,8.95,Europa Metal Key Operated Selector Switches (IP65) RCAS-SWK2,https://www.europa-plc.com/_uploads/europa/xRCAS-SWK2_H_555_W_555.jpg.pagespeed.ic.Bu6EKZEd1b.webp,"
				IP65 rated when installed",Europa,Accessories,100
RCAS-SW3,6.99,Europa Metal Standard Handle Selector Switches + Collar (IP65) RCAS-SW3,https://www.europa-plc.com/_uploads/europa/RCAS-SW3_H_555_W_555.jpg,"
				IP65 rated when installed",Europa,Accessories,100
